dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
mock,adaptive_sensitivity_only,mlp,fixed_attacker,0.4,4.0,1.0,0.0,False,0.47350993377483447,0.21854304635761582,0.25496688741721857,0.07300095292423579,1.0025147617879044,0.41647289367956936,0.1381214143476569,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_sensitivity_only,mlp,retrain_attacker,0.4,4.0,1.0,0.0,False,0.2864238410596026,0.40176600441501104,-0.11534216335540837,0.32249199013477065,1.0025147617879044,0.41647289367956936,0.1381214143476569,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_traffic_only,lstm,fixed_attacker,0.4,4.0,0.0,1.0,False,0.7759381898454746,0.46467991169977924,0.31125827814569534,0.32468143164567426,0.8507460011349407,0.3668292346439375,0.1510865328206813,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_traffic_only,lstm,retrain_attacker,0.4,4.0,0.0,1.0,False,0.2842163355408388,0.4470198675496688,-0.16280353200883,0.38640255039693056,0.8507460011349407,0.3668292346439375,0.1510865328206813,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_traffic_only,mlp,fixed_attacker,0.4,4.0,0.0,1.0,False,0.47350993377483447,0.216887417218543,0.2566225165562914,0.07473273099123376,0.8507460011349407,0.3668292346439375,0.1510865328206813,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_traffic_only,mlp,retrain_attacker,0.4,4.0,0.0,1.0,False,0.3068432671081678,0.3962472406181015,-0.08940397350993372,0.3075397579271637,0.8507460011349407,0.3668292346439375,0.1510865328206813,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_edge_cap_on,lstm,fixed_attacker,0.4,4.0,0.5,0.5,True,0.7759381898454746,0.4541942604856512,0.3217439293598234,0.3127692756050966,0.8853040089760755,0.38515685825914175,0.1472090528711219,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_edge_cap_on,lstm,retrain_attacker,0.4,4.0,0.5,0.5,True,0.2842163355408388,0.43598233995584984,-0.151766004415011,0.36467867612193566,0.8853040089760755,0.38515685825914175,0.1472090528711219,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_edge_cap_on,mlp,fixed_attacker,0.4,4.0,0.5,0.5,True,0.47350993377483447,0.21909492273730677,0.2544150110375276,0.07562187967155663,0.8853040089760755,0.38515685825914175,0.1472090528711219,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
mock,adaptive_edge_cap_on,mlp,retrain_attacker,0.4,4.0,0.5,0.5,True,0.2891832229580574,0.40397350993377484,-0.11479028697571743,0.32684578689146143,0.8853040089760755,0.38515685825914175,0.1472090528711219,3,outputs/summaries/final_thesis/mock/mock_parameter_scan_adaptive_ldp.csv
