event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
RX,DUMMY,,6,0,48,53431.88,52928,53431.88,52437,52928,,154,53431880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=6 seq=0 send_ms=52437 recv_ms=52928 bytes=48
TX,REAL,2,,3,48,56012.0,55149,56012.0,,,,157,56012000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=3 bytes=48 time_ms=55149
TX,DUMMY,2,,0,48,56013.0,55150,56013.0,,,,158,56013000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=0 bytes=48 time_ms=55150
RX,REAL,,2,3,48,56026.88,55523,56026.88,55149,55523,14.87999999999738,159,56026880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=3 send_ms=55149 recv_ms=55523 bytes=48
RX,DUMMY,,2,0,48,56045.88,55542,56045.88,55150,55542,,160,56045880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=0 send_ms=55150 recv_ms=55542 bytes=48
TX,REAL,5,,2,48,57326.0,56989,57326.0,,,,163,57326000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=2 bytes=48 time_ms=56989
RX,REAL,,5,2,48,57370.168,56867,57370.168,56989,56867,44.167999999997846,164,57370168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=2 send_ms=56989 recv_ms=56867 bytes=48
TX,REAL,4,,2,48,57578.0,57285,57578.0,,,,166,57578000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=2 bytes=48 time_ms=57285
RX,REAL,,4,2,48,57630.168,57127,57630.168,57285,57127,52.167999999997846,167,57630168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=2 send_ms=57285 recv_ms=57127 bytes=48
TX,REAL,3,,2,48,57917.0,57253,57917.0,,,,169,57917000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=2 bytes=48 time_ms=57253
RX,REAL,,3,2,48,57988.168,57485,57988.168,57253,57485,71.16799999999785,170,57988168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=2 send_ms=57253 recv_ms=57485 bytes=48
TX,REAL,7,,5,48,63186.0,62867,63186.0,,,,172,63186000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=5 bytes=48 time_ms=62867
TX,DUMMY,7,,1,48,63187.0,62868,63187.0,,,,173,63187000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=1 bytes=48 time_ms=62868
RX,REAL,,7,5,48,63199.88,62696,63199.88,62867,62696,13.87999999999738,174,63199880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=5 send_ms=62867 recv_ms=62696 bytes=48
RX,DUMMY,,7,1,48,63226.88,62723,63226.88,62868,62723,,175,63226880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=1 send_ms=62868 recv_ms=62723 bytes=48
TX,REAL,6,,4,48,64377.0,63438,64377.0,,,,178,64377000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=4 bytes=48 time_ms=63438
RX,REAL,,6,4,48,64409.88,63906,64409.88,63438,63906,32.87999999999738,179,64409880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=4 send_ms=63438 recv_ms=63906 bytes=48
TX,REAL,4,,3,48,67579.0,67286,67579.0,,,,181,67579000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=3 bytes=48 time_ms=67286
RX,REAL,,4,3,48,67633.168,67130,67633.168,67286,67130,54.16800000000512,182,67633168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=3 send_ms=67286 recv_ms=67130 bytes=48
