path,file_size_bytes,git_last_commit_time,git_last_commit_hash,category,referenced_by_final_thesis,deletion_recommendation,reason
configs/generated/default.seed_42.yaml,3094,2026-04-23T13:30:03+08:00,c6549c00af9c55fcc716a224ffc0ec4c6900f5e0,generated_config,True,keep,Referenced by final summaries or delivery documentation.
configs/generated/imports/casas_hh101.yaml,3088,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/imports/kasteren.yaml,3070,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/imports/uci_har.yaml,3064,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/lstm/adaptive_ldp/fixed_attacker.yaml,3234,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/lstm/adaptive_ldp/retrain_attacker.yaml,3256,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/lstm/baseline.yaml,3234,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/lstm/ldp/fixed_attacker.yaml,3207,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/lstm/ldp/retrain_attacker.yaml,3220,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/lstm/noise/fixed_attacker.yaml,3213,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/lstm/noise/retrain_attacker.yaml,3228,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/mlp/adaptive_ldp/fixed_attacker.yaml,3234,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/mlp/adaptive_ldp/retrain_attacker.yaml,3254,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/mlp/baseline.yaml,3234,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/mlp/ldp/fixed_attacker.yaml,3207,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/mlp/ldp/retrain_attacker.yaml,3218,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/mlp/noise/fixed_attacker.yaml,3213,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_123/mlp/noise/retrain_attacker.yaml,3226,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/lstm/adaptive_ldp/fixed_attacker.yaml,3241,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/lstm/adaptive_ldp/retrain_attacker.yaml,3263,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/lstm/baseline.yaml,3241,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/lstm/ldp/fixed_attacker.yaml,3214,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/lstm/ldp/retrain_attacker.yaml,3227,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/lstm/noise/fixed_attacker.yaml,3220,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/lstm/noise/retrain_attacker.yaml,3235,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/mlp/adaptive_ldp/fixed_attacker.yaml,3241,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/mlp/adaptive_ldp/retrain_attacker.yaml,3261,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/mlp/baseline.yaml,3241,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/mlp/ldp/fixed_attacker.yaml,3214,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/mlp/ldp/retrain_attacker.yaml,3225,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/mlp/noise/fixed_attacker.yaml,3220,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_2026/mlp/noise/retrain_attacker.yaml,3233,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/lstm/adaptive_ldp/fixed_attacker.yaml,3227,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/lstm/adaptive_ldp/retrain_attacker.yaml,3249,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/lstm/baseline.yaml,3227,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/lstm/ldp/fixed_attacker.yaml,3200,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/lstm/ldp/retrain_attacker.yaml,3213,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/lstm/noise/fixed_attacker.yaml,3206,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/lstm/noise/retrain_attacker.yaml,3221,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/mlp/adaptive_ldp/fixed_attacker.yaml,3227,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/mlp/adaptive_ldp/retrain_attacker.yaml,3247,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/mlp/baseline.yaml,3227,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/mlp/ldp/fixed_attacker.yaml,3200,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/mlp/ldp/retrain_attacker.yaml,3211,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/mlp/noise/fixed_attacker.yaml,3206,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/kasteren/seed_42/mlp/noise/retrain_attacker.yaml,3219,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123.yaml,3102,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/lstm/adaptive_ldp/fixed_attacker.yaml,3163,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/lstm/adaptive_ldp/retrain_attacker.yaml,3176,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/lstm/baseline.yaml,3163,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/lstm/ldp/fixed_attacker.yaml,3136,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/lstm/ldp/retrain_attacker.yaml,3140,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/lstm/noise/fixed_attacker.yaml,3142,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/lstm/noise/retrain_attacker.yaml,3148,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/mlp/adaptive_ldp/fixed_attacker.yaml,3163,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/mlp/adaptive_ldp/retrain_attacker.yaml,3174,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/mlp/baseline.yaml,3163,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/mlp/ldp/fixed_attacker.yaml,3136,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/mlp/ldp/retrain_attacker.yaml,3138,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/mlp/noise/fixed_attacker.yaml,3142,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_123/mlp/noise/retrain_attacker.yaml,3146,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_2026.yaml,3110,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_2026/lstm/adaptive_ldp/fixed_attacker.yaml,3171,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_2026/lstm/adaptive_ldp/retrain_attacker.yaml,3184,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
configs/generated/mock/seed_2026/lstm/baseline.yaml,3171,,,generated_config,False,keep,Required canonical delivery/code/documentation file.
