accuracy_drop,baseline_acc,baseline_f1_macro,byte_count_mean,byte_overhead_ratio,correlation_drop,dataset,defended_acc,defended_f1_macro,delay_proxy_available,dummy_byte_count_mean,dummy_packet_count_mean,dummy_packet_ratio,energy_metric_available,energy_mj_mean,energy_overhead_ratio,f1_macro,input_shape,is_hardware_measurement,mae,mean_delay_ms,mean_iat_ms,method,metric_type,mode,model_type,mse,num_classes,p95_delay_ms,p95_iat_ms,packet_overhead_ratio,pearson_r,pkt_count_mean,real_byte_count_mean,real_packet_count_mean,relative_accuracy_drop_percent,section,seed,source_files,source_log_files,test_size,traffic_activity_correlation_after,traffic_activity_correlation_before,train_size,val_size
0.2731788079470199,0.4834437086092715,0.4405918215847059,,,,mock,0.2102649006622516,0.1606575274465486,,,,,,,,,,,0.5156768119323579,,,ldp,,retrain_attacker,mlp,1.0037463464963514,,,,,0.1078229180413483,,,,56.5068493150685,mock,123,outputs/experiments/mock/seed_123/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/mlp/ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_123/mlp/ldp/retrain_attacker/defense_report.json,,,,,,
0.2731788079470199,0.4834437086092715,0.4405918215847059,,,,mock,0.2102649006622516,0.1296750274278364,,,,,,,,,,,0.4983800696929921,,,noise,,fixed_attacker,mlp,0.4965272599019954,,,,,0.2100685206953511,,,,56.5068493150685,mock,123,outputs/experiments/mock/seed_123/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/mlp/noise/fixed_attacker/confusion.json;outputs/experiments/mock/seed_123/mlp/noise/fixed_attacker/defense_report.json,,,,,,
0.1854304635761589,0.4834437086092715,0.4405918215847059,,,,mock,0.2980132450331126,0.2164624407406954,,,,,,,,,,,0.4983800696929921,,,noise,,retrain_attacker,mlp,0.4965272599019954,,,,,0.2100685206953511,,,,38.35616438356164,mock,123,outputs/experiments/mock/seed_123/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_123/mlp/noise/retrain_attacker/confusion.json;outputs/experiments/mock/seed_123/mlp/noise/retrain_attacker/defense_report.json,,,,,,
0.3294701986754967,0.7798013245033113,0.7795078111196135,,,,mock,0.4503311258278146,0.3189006249813977,,,,,,,,,,,0.373469471633857,,,adaptive_ldp,,fixed_attacker,lstm,0.8538681348697145,,,,,0.1481763884306514,,,,42.25053078556263,mock,2026,outputs/experiments/mock/seed_2026/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/lstm/adaptive_ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_2026/lstm/adaptive_ldp/fixed_attacker/defense_report.json,,,,,,
0.3543046357615894,0.7798013245033113,0.7795078111196135,,,,mock,0.4254966887417218,0.346363991388879,,,,,,,,,,,0.373469471633857,,,adaptive_ldp,,retrain_attacker,lstm,0.8538681348697145,,,,,0.1481763884306514,,,,45.43524416135881,mock,2026,outputs/experiments/mock/seed_2026/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/lstm/adaptive_ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_2026/lstm/adaptive_ldp/retrain_attacker/defense_report.json,,,,,,
0.4387417218543046,0.7798013245033113,0.7795078111196135,,,,mock,0.3410596026490066,0.1933296553070989,,,,,,,,,,,0.5145102493540279,,,ldp,,fixed_attacker,lstm,1.0068559036453752,,,,,0.1061225329079921,,,,56.26326963906582,mock,2026,outputs/experiments/mock/seed_2026/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/lstm/ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_2026/lstm/ldp/fixed_attacker/defense_report.json,,,,,,
0.5033112582781457,0.7798013245033113,0.7795078111196135,,,,mock,0.2764900662251656,0.2407999180668672,,,,,,,,,,,0.5145102493540279,,,ldp,,retrain_attacker,lstm,1.0068559036453752,,,,,0.1061225329079921,,,,64.54352441613588,mock,2026,outputs/experiments/mock/seed_2026/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/lstm/ldp/retrain_attacker/confusion.json;outputs/experiments/mock/seed_2026/lstm/ldp/retrain_attacker/defense_report.json,,,,,,
0.4155629139072848,0.7798013245033113,0.7795078111196135,,,,mock,0.3642384105960264,0.24339550996431,,,,,,,,,,,0.5005296539653346,,,noise,,fixed_attacker,lstm,0.5015420825948257,,,,,0.2088061834499174,,,,53.29087048832272,mock,2026,outputs/experiments/mock/seed_2026/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/lstm/noise/fixed_attacker/confusion.json;outputs/experiments/mock/seed_2026/lstm/noise/fixed_attacker/defense_report.json,,,,,,
0.3956953642384106,0.7798013245033113,0.7795078111196135,,,,mock,0.3841059602649007,0.3086873994253406,,,,,,,,,,,0.5005296539653346,,,noise,,retrain_attacker,lstm,0.5015420825948257,,,,,0.2088061834499174,,,,50.74309978768577,mock,2026,outputs/experiments/mock/seed_2026/lstm/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/lstm/noise/retrain_attacker/confusion.json;outputs/experiments/mock/seed_2026/lstm/noise/retrain_attacker/defense_report.json,,,,,,
0.3509933774834437,0.4718543046357616,0.4247204184595225,,,,mock,0.1208609271523178,0.0431314623338257,,,,,,,,,,,0.373469471633857,,,adaptive_ldp,,fixed_attacker,mlp,0.8538681348697145,,,,,0.1481763884306514,,,,74.3859649122807,mock,2026,outputs/experiments/mock/seed_2026/mlp/baseline/baseline_confusion.json;outputs/experiments/mock/seed_2026/mlp/adaptive_ldp/fixed_attacker/confusion.json;outputs/experiments/mock/seed_2026/mlp/adaptive_ldp/fixed_attacker/defense_report.json,,,,,,
