event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
RX,REAL,,6,4,48,64406.88,63903,64406.88,63437,63903,30.87999999999738,195,64406880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=4 send_ms=63437 recv_ms=63903 bytes=48
TX,REAL,3,,3,48,67918.0,67254,67918.0,,,,197,67918000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=3 bytes=48 time_ms=67254
RX,REAL,,3,3,48,67974.168,67471,67974.168,67254,67471,56.16800000000512,198,67974168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=3 send_ms=67254 recv_ms=67471 bytes=48
TX,REAL,4,,3,48,68581.0,68288,68581.0,,,,200,68581000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=3 bytes=48 time_ms=68288
TX,DUMMY,4,,2,48,68582.0,68289,68582.0,,,,201,68582000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=2 bytes=48 time_ms=68289
RX,REAL,,4,3,48,68634.168,68131,68634.168,68288,68131,53.16800000000512,202,68634168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=3 send_ms=68288 recv_ms=68131 bytes=48
RX,DUMMY,,4,2,48,68754.168,68251,68754.168,68289,68251,,204,68754168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=2 send_ms=68289 recv_ms=68251 bytes=48
TX,REAL,5,,3,48,70328.0,69991,70328.0,,,,206,70328000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=3 bytes=48 time_ms=69991
RX,REAL,,5,3,48,70367.168,69864,70367.168,69991,69864,39.16800000000512,207,70367168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=3 send_ms=69991 recv_ms=69864 bytes=48
TX,REAL,6,,5,48,74377.0,73438,74377.0,,,,209,74377000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=5 bytes=48 time_ms=73438
RX,REAL,,6,5,48,74398.88,73895,74398.88,73438,73895,21.880000000004657,210,74398880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=5 send_ms=73438 recv_ms=73895 bytes=48
TX,REAL,7,,6,48,75188.0,74869,75188.0,,,,212,75188000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=6 bytes=48 time_ms=74869
TX,DUMMY,7,,2,48,75189.0,74870,75189.0,,,,213,75189000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=2 bytes=48 time_ms=74870
RX,REAL,,7,6,48,75195.88,74692,75195.88,74869,74692,7.880000000004657,214,75195880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=6 send_ms=74869 recv_ms=74692 bytes=48
RX,DUMMY,,7,2,48,75201.88,74698,75201.88,74870,74698,,216,75201880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=2 send_ms=74870 recv_ms=74698 bytes=48
TX,REAL,2,,5,48,76017.0,75154,76017.0,,,,219,76017000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=5 bytes=48 time_ms=75154
RX,REAL,,2,5,48,76055.88,75552,76055.88,75154,75552,38.88000000000466,220,76055880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=5 send_ms=75154 recv_ms=75552 bytes=48
TX,REAL,5,,4,48,78329.0,77992,78329.0,,,,222,78329000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=4 bytes=48 time_ms=77992
RX,REAL,,5,4,48,78384.168,77881,78384.168,77992,77881,55.16800000000512,223,78384168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=4 send_ms=77992 recv_ms=77881 bytes=48
TX,REAL,3,,4,48,79919.0,79255,79919.0,,,,225,79919000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=4 bytes=48 time_ms=79255
RX,REAL,,3,4,48,79975.168,79472,79975.168,79255,79472,56.16800000000512,226,79975168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=4 send_ms=79255 recv_ms=79472 bytes=48
TX,REAL,4,,4,48,80583.0,80290,80583.0,,,,228,80583000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=4 bytes=48 time_ms=80290
RX,REAL,,4,4,48,80614.168,80111,80614.168,80290,80111,31.168000000005122,229,80614168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=4 send_ms=80290 recv_ms=80111 bytes=48
TX,REAL,7,,7,48,84190.0,83871,84190.0,,,,231,84190000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=7 bytes=48 time_ms=83871
TX,DUMMY,7,,3,48,84191.0,83872,84191.0,,,,232,84191000	ID:7	[INFO: Metric    ] METRIC_TX type=DUMMY node=7 seq=3 bytes=48 time_ms=83872
RX,REAL,,7,7,48,84205.88,83702,84205.88,83871,83702,15.880000000004657,233,84205880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=7 send_ms=83871 recv_ms=83702 bytes=48
RX,DUMMY,,7,3,48,84231.76,83728,84231.76,83872,83728,,235,84231760	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=7 seq=3 send_ms=83872 recv_ms=83728 bytes=48
TX,REAL,6,,6,48,84378.0,83439,84378.0,,,,237,84378000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=6 bytes=48 time_ms=83439
TX,DUMMY,6,,0,48,84379.0,83440,84379.0,,,,238,84379000	ID:6	[INFO: Metric    ] METRIC_TX type=DUMMY node=6 seq=0 bytes=48 time_ms=83440
RX,REAL,,6,6,48,84401.88,83898,84401.88,83439,83898,23.880000000004657,239,84401880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=6 send_ms=83439 recv_ms=83898 bytes=48
RX,DUMMY,,6,0,48,84414.88,83911,84414.88,83440,83911,,240,84414880	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=6 seq=0 send_ms=83440 recv_ms=83911 bytes=48
TX,REAL,2,,6,48,88018.0,87155,88018.0,,,,243,88018000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=6 bytes=48 time_ms=87155
RX,REAL,,2,6,48,88029.88,87526,88029.88,87155,87526,11.880000000004657,244,88029880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=6 send_ms=87155 recv_ms=87526 bytes=48
TX,REAL,5,,5,48,89330.0,88993,89330.0,,,,247,89330000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=5 bytes=48 time_ms=88993
RX,REAL,,5,5,48,89415.168,88912,89415.168,88993,88912,85.16800000000512,248,89415168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=5 send_ms=88993 recv_ms=88912 bytes=48
TX,REAL,3,,5,48,89920.0,89256,89920.0,,,,250,89920000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=5 bytes=48 time_ms=89256
RX,REAL,,3,5,48,89975.168,89472,89975.168,89256,89472,55.16800000000512,251,89975168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=5 send_ms=89256 recv_ms=89472 bytes=48
TX,REAL,4,,5,48,90584.0,90291,90584.0,,,,253,90584000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=5 bytes=48 time_ms=90291
TX,DUMMY,4,,3,48,90585.0,90292,90585.0,,,,254,90585000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=3 bytes=48 time_ms=90292
RX,REAL,,4,5,48,90652.168,90149,90652.168,90291,90149,68.16800000000512,255,90652168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=5 send_ms=90291 recv_ms=90149 bytes=48
RX,DUMMY,,4,3,48,90686.168,90183,90686.168,90292,90183,,256,90686168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=3 send_ms=90292 recv_ms=90183 bytes=48
TX,REAL,7,,8,48,95192.0,94873,95192.0,,,,259,95192000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=8 bytes=48 time_ms=94873
RX,REAL,,7,8,48,95223.88,94720,95223.88,94873,94720,31.880000000004657,260,95223880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=8 send_ms=94873 recv_ms=94720 bytes=48
TX,REAL,2,,7,48,96019.0,95156,96019.0,,,,262,96019000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=7 bytes=48 time_ms=95156
RX,REAL,,2,7,48,96043.88,95540,96043.88,95156,95540,24.880000000004657,263,96043880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=7 send_ms=95156 recv_ms=95540 bytes=48
TX,REAL,6,,7,48,96380.0,95441,96380.0,,,,265,96380000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=7 bytes=48 time_ms=95441
RX,REAL,,6,7,48,96399.88,95896,96399.88,95441,95896,19.880000000004657,266,96399880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=7 send_ms=95441 recv_ms=95896 bytes=48
TX,REAL,5,,6,48,97331.0,96994,97331.0,,,,268,97331000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=6 bytes=48 time_ms=96994
RX,REAL,,5,6,48,97357.168,96854,97357.168,96994,96854,26.168000000005122,269,97357168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=6 send_ms=96994 recv_ms=96854 bytes=48
TX,REAL,3,,6,48,99921.0,99257,99921.0,,,,271,99921000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=6 bytes=48 time_ms=99257
TX,DUMMY,3,,1,48,99922.0,99258,99922.0,,,,272,99922000	ID:3	[INFO: Metric    ] METRIC_TX type=DUMMY node=3 seq=1 bytes=48 time_ms=99258
RX,REAL,,3,6,48,99971.168,99468,99971.168,99257,99468,50.16800000000512,273,99971168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=6 send_ms=99257 recv_ms=99468 bytes=48
RX,DUMMY,,3,1,48,99993.168,99490,99993.168,99258,99490,,274,99993168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=3 seq=1 send_ms=99258 recv_ms=99490 bytes=48
TX,REAL,4,,6,48,100586.0,100293,100586.0,,,,278,100586000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=6 bytes=48 time_ms=100293
RX,REAL,,4,6,48,100666.168,100163,100666.168,100293,100163,80.16800000000512,279,100666168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=6 send_ms=100293 recv_ms=100163 bytes=48
