event,packet_type,node,src,seq,bytes,time_ms,payload_time_ms,sim_time_ms,send_ms,recv_ms,delay_ms,line_number,raw_line
RX,REAL,,2,5,48,67385.88,66954,67385.88,66979,66954,13.880000000004657,187,67385880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=5 send_ms=66979 recv_ms=66954 bytes=48
TX,REAL,7,,5,48,69062.0,69040,69062.0,,,,189,69062000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=5 bytes=48 time_ms=69040
RX,REAL,,7,5,48,69082.88,68651,69082.88,69040,68651,20.880000000004657,190,69082880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=5 send_ms=69040 recv_ms=68651 bytes=48
TX,REAL,3,,4,48,72980.0,72768,72980.0,,,,192,72980000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=4 bytes=48 time_ms=72768
RX,REAL,,3,4,48,73022.168,72591,73022.168,72768,72591,42.16800000000512,193,73022168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=4 send_ms=72768 recv_ms=72591 bytes=48
TX,REAL,5,,4,48,73060.0,72090,73060.0,,,,195,73060000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=4 bytes=48 time_ms=72090
TX,REAL,4,,3,48,73078.0,72129,73078.0,,,,196,73078000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=3 bytes=48 time_ms=72129
TX,DUMMY,4,,1,48,73079.0,72130,73079.0,,,,197,73079000	ID:4	[INFO: Metric    ] METRIC_TX type=DUMMY node=4 seq=1 bytes=48 time_ms=72130
RX,REAL,,5,4,48,73133.168,72702,73133.168,72090,72702,73.16800000000512,198,73133168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=4 send_ms=72090 recv_ms=72702 bytes=48
RX,REAL,,4,3,48,73149.168,72718,73149.168,72129,72718,71.16800000000512,199,73149168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=3 send_ms=72129 recv_ms=72718 bytes=48
RX,DUMMY,,4,1,48,73283.168,72852,73283.168,72130,72852,,202,73283168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=4 seq=1 send_ms=72130 recv_ms=72852 bytes=48
TX,REAL,6,,5,48,75833.0,75745,75833.0,,,,204,75833000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=5 bytes=48 time_ms=75745
RX,REAL,,6,5,48,75860.88,75429,75860.88,75745,75429,27.880000000004657,205,75860880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=6 seq=5 send_ms=75745 recv_ms=75429 bytes=48
TX,REAL,7,,6,48,78063.0,78041,78063.0,,,,207,78063000	ID:7	[INFO: Metric    ] METRIC_TX type=REAL node=7 seq=6 bytes=48 time_ms=78041
RX,REAL,,7,6,48,78078.88,77647,78078.88,78041,77647,15.880000000004657,208,78078880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=7 seq=6 send_ms=78041 recv_ms=77647 bytes=48
TX,REAL,2,,6,48,78373.0,77980,78373.0,,,,210,78373000	ID:2	[INFO: Metric    ] METRIC_TX type=REAL node=2 seq=6 bytes=48 time_ms=77980
TX,DUMMY,2,,0,48,78374.0,77981,78374.0,,,,211,78374000	ID:2	[INFO: Metric    ] METRIC_TX type=DUMMY node=2 seq=0 bytes=48 time_ms=77981
RX,REAL,,2,6,48,78386.88,77955,78386.88,77980,77955,13.880000000004657,212,78386880	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=2 seq=6 send_ms=77980 recv_ms=77955 bytes=48
RX,DUMMY,,2,0,48,78393.76,77962,78393.76,77981,77962,,214,78393760	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=2 seq=0 send_ms=77981 recv_ms=77962 bytes=48
TX,REAL,5,,5,48,82061.0,81091,82061.0,,,,217,82061000	ID:5	[INFO: Metric    ] METRIC_TX type=REAL node=5 seq=5 bytes=48 time_ms=81091
TX,DUMMY,5,,1,48,82062.0,81092,82062.0,,,,218,82062000	ID:5	[INFO: Metric    ] METRIC_TX type=DUMMY node=5 seq=1 bytes=48 time_ms=81092
RX,REAL,,5,5,48,82117.168,81686,82117.168,81091,81686,56.16800000000512,219,82117168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=5 seq=5 send_ms=81091 recv_ms=81686 bytes=48
RX,DUMMY,,5,1,48,82164.168,81733,82164.168,81092,81733,,221,82164168	ID:1	[INFO: Metric    ] METRIC_RX type=DUMMY src=5 seq=1 send_ms=81092 recv_ms=81733 bytes=48
TX,REAL,3,,5,48,82981.0,82769,82981.0,,,,223,82981000	ID:3	[INFO: Metric    ] METRIC_TX type=REAL node=3 seq=5 bytes=48 time_ms=82769
RX,REAL,,3,5,48,83041.168,82610,83041.168,82769,82610,60.16800000000512,224,83041168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=3 seq=5 send_ms=82769 recv_ms=82610 bytes=48
TX,REAL,4,,4,48,83080.0,82131,83080.0,,,,225,83080000	ID:4	[INFO: Metric    ] METRIC_TX type=REAL node=4 seq=4 bytes=48 time_ms=82131
RX,REAL,,4,4,48,83130.168,82699,83130.168,82131,82699,50.16800000000512,227,83130168	ID:1	[INFO: Metric    ] METRIC_RX type=REAL src=4 seq=4 send_ms=82131 recv_ms=82699 bytes=48
TX,REAL,6,,6,48,84834.0,84746,84834.0,,,,229,84834000	ID:6	[INFO: Metric    ] METRIC_TX type=REAL node=6 seq=6 bytes=48 time_ms=84746
