dataset,profile_name,model_type,mode,epsilon_min,epsilon_max,weight_sensitivity,weight_traffic,use_edge_budget_cap,mean_baseline_acc,mean_defended_acc,mean_accuracy_drop,mean_defended_f1_macro,mean_mse,mean_mae,mean_pearson_r,num_seeds,source_file
casas_hh101,adaptive_weak_privacy,mlp,retrain_attacker,1.0,6.0,0.5,0.5,False,0.3432698261833787,0.4026295704266931,-0.05935974424331444,0.1225608088772131,0.08022874911111162,0.1455288350761388,0.7844692561461519,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_sensitivity_only,lstm,fixed_attacker,0.4,4.0,1.0,0.0,False,0.48223671894125947,0.1946256534324102,0.28761106550884924,0.13082225861701838,1.1452507796078635,0.3474159949742328,0.28726144032055767,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_sensitivity_only,lstm,retrain_attacker,0.4,4.0,1.0,0.0,False,0.39182903472012204,0.3757290361601935,0.016099998559928535,0.15296302457803582,1.1452507796078635,0.3474159949742328,0.28726144032055767,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_sensitivity_only,mlp,fixed_attacker,0.4,4.0,1.0,0.0,False,0.4378681182586656,0.0597629642430264,0.3781051540156392,0.019895078221470932,1.1452507796078635,0.3474159949742328,0.28726144032055767,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_sensitivity_only,mlp,retrain_attacker,0.4,4.0,1.0,0.0,False,0.3719272475914805,0.3873936147232903,-0.015466367131809766,0.10559201783383226,1.1452507796078635,0.3474159949742328,0.28726144032055767,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_traffic_only,lstm,fixed_attacker,0.4,4.0,0.0,1.0,False,0.48223671894125947,0.10136662778473808,0.3808700911565213,0.09843000061216213,0.22888564225762045,0.26100765248405483,0.5678867861010936,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_traffic_only,lstm,retrain_attacker,0.4,4.0,0.0,1.0,False,0.4640774182399447,0.4202704454140925,0.0438069728258521,0.1960328233214349,0.22888564225762045,0.26100765248405483,0.5678867861010936,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_traffic_only,mlp,fixed_attacker,0.4,4.0,0.0,1.0,False,0.4378681182586656,0.06643049495254959,0.371437623306116,0.013711349705436133,0.22888564225762045,0.26100765248405483,0.5678867861010936,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_traffic_only,mlp,retrain_attacker,0.4,4.0,0.0,1.0,False,0.2704310133782636,0.3292579311933872,-0.058826917815123635,0.11167823712148506,0.22888564225762045,0.26100765248405483,0.5678867861010936,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_edge_cap_on,lstm,fixed_attacker,0.4,4.0,0.5,0.5,True,0.48223671894125947,0.14237986204115724,0.3398568569001022,0.11797472028533722,0.20601828509015638,0.229058655064565,0.5944407327907187,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_edge_cap_on,lstm,retrain_attacker,0.4,4.0,0.5,0.5,True,0.478118114658487,0.435088780403508,0.04302933425497899,0.19599809364183032,0.20601828509015638,0.229058655064565,0.5944407327907187,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_edge_cap_on,mlp,fixed_attacker,0.4,4.0,0.5,0.5,True,0.4378681182586656,0.06467360781094737,0.3731945104477182,0.013792800042552367,0.20601828509015638,0.229058655064565,0.5944407327907187,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
casas_hh101,adaptive_edge_cap_on,mlp,retrain_attacker,0.4,4.0,0.5,0.5,True,0.3183277890583373,0.3783067640154951,-0.05997897495715787,0.1056273150147334,0.20601828509015638,0.229058655064565,0.5944407327907187,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_default,lstm,fixed_attacker,0.4,4.0,0.5,0.5,False,0.35405872193436955,0.07426597582037993,0.2797927461139896,0.0627126414461474,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_default,lstm,retrain_attacker,0.4,4.0,0.5,0.5,False,0.12435233160621756,0.08635578583765106,0.03799654576856647,0.048277552443087866,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_default,mlp,fixed_attacker,0.4,4.0,0.5,0.5,False,0.17962003454231426,0.031088082901554365,0.1485319516407599,0.006131883138267134,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_default,mlp,retrain_attacker,0.4,4.0,0.5,0.5,False,0.03799654576856647,0.034542314335060435,0.0034542314335060335,0.0027465923824420003,0.21538086727203198,0.24101253348500296,0.4495767652227964,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_strong_privacy,lstm,fixed_attacker,0.2,1.0,0.5,0.5,False,0.35405872193436955,0.017271157167530166,0.3367875647668393,0.006758748268707901,2.792280768105123,0.8577475440577169,0.11052938344015013,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
kasteren,adaptive_strong_privacy,lstm,retrain_attacker,0.2,1.0,0.5,0.5,False,0.008635578583765067,0.008635578583765067,3.353798720221827e-17,0.009065840988833866,2.792280768105123,0.8577475440577169,0.11052938344015013,3,outputs/reports/final_thesis/real/real_parameter_scan_adaptive_ldp.csv
